name,material type,seating type,speed,height,length,num inversions,manufacturer,park,status
Dragon Coaster,na,Sit Down,,,,,na,Fun City,status.operating
Dragon Coaster,na,Sit Down,,4,80,0,Zamperla,Krisna Funtastic Land,status.operating
Dragon Coaster,Steel,Sit Down,,,,0,Wisdom Rides ,Las Vegas Mini Grand Prix,status.operating
Dragon Coaster,na,na,,,,0,Zamperla,Misaki Park,status.closed.definitely
Dragon des Sortilèges (le),Steel,Sit Down,,,,0,Mack,Mirapolis,status.closed.definitely
Dragon Express,na,Sit Down,,4,80,,Zamperla,Adventure World,status.operating
Dragon Fire,Steel,Sit Down,81,24,658,4,Arrow,Canada's Wonderland,status.operating
Dragon Flier,na,Suspended,75,19,453,0,Vekoma,Dollywood,status.operating
Dragon Fly,Steel,Sit Down,,15,360,0,Gerstlauer,Duinrell,status.operating
Dragon Flyer,Steel,Sit Down,,,,0,na,Camelot Theme Park,status.closed.definitely
Dragon Gliders,Steel,Inverted,,,530,0,Mack,Motiongate,status.operating
Dragon Going Worldwide,Steel,Sit Down,48,16,786,0,Golden Horse,World Joyland,status.operating
Dragon in Clouds,na,Inverted,34,36,748,4,Vekoma,Happy Valley Chengdu,status.operating
Dragon in Snowfield,na,Sit Down,49,14,785,0,Vekoma,Happy Valley Chengdu,status.operating
Dragon Khan,Steel,Sit Down,105,45,1270,8,B&M,Port Aventura,status.operating
Dragon Legend,na,Sit Down,85,,590,3,Maurer,Romon U-Park,status.operating
Dragon Mountain,Steel,Sit Down,81,57,1676,4,Arrow,Marineland Theme Park,status.operating
Dragon Rider,Steel,Inverted,75,32,790,4,Beijing Jiuhua,Floraland,status.operating
Dragon Roller Coaster,Steel,Suspended,75,20,453,0,Vekoma,Energylandia,status.operating
Dragon Slide,Steel,Sit Down,,,,0,Wisdom Rides ,Beijing Carnival,status.closed.definitely
Dragon Wagon,na,Sit Down,,,,0,na,Foire,status.operating
Dragon Wagon,Steel,Sit Down,,,,0,Wisdom Rides ,Funtown Pier,status.closed.definitely
Dragon Wagon,na,Sit Down,,,,,Wisdom Rides ,Galaxyland Amusement Park,status.operating
Dragon Wagon,na,Sit Down,,,,,Wisdom Rides ,Indiana Beach,status.operating
Dragon Wagon,Steel,Sit Down,,2,43,0,Wisdom Rides ,Sandy Lake Amusement Park,status.operating
Dragon Wagon ,Steel,Sit Down,,,,0,Wisdom Rides ,Old Town,status.closed.definitely
Dragon's Apprentice,Steel,Sit Down,,,,0,Zamperla,Legoland Dubai,status.operating
Dragon's Apprentice,na,Sit Down,,,,,Zierer,Legoland Malaysia,status.operating
Dragon's Apprentice,Steel,Sit Down,,,,0,WGH Transportation,Legoland Windsor,status.operating
Dragon's Fury,Steel,Spinning,,18,540,0,Maurer,Chessington World of Adventures,status.operating
Dragon's Run,na,Sit Down,105,46,1139,6,B&M,Dragon Park Ha Long,status.operating
Dragonfire,Steel,Sit Down,0,60,0,0,Premier Rides,Adventure Island,status.operating
Draken,Steel,Sit Down,,6,135,0,Preston & Barbieri,Energylandia,status.construction
Draken,Steel,Sit Down,,63,,,B&M,Gyeongju World,status.operating
Draken Achtbaan,Steel,Sit Down,,,,0,na,Speelpark Oud Valkeveen,status.construction
Drakkar,Steel,Sit Down,,,,0,Soquet,Didiland,status.operating
Drakkar Express,Steel,Sit Down,,,,0,Soquet,Festyland,status.operating
Drako,Steel,Sit Down,32,6,199,0,Zierer,Walibi Holland,status.operating
Dream coaster,Steel,Sit Down,70,25,385,3,Maurer,Dream City,status.operating
Dream Factory,na,Sit Down,45,0,530,0,Zamperla,Wuxi Sunac Land,status.construction
Dream Hunters Society,Steel,Sit Down,,,,0,na,Legendia,status.operating
Dreamcatcher,Steel,Suspended,45,25,600,0,Vekoma,Bobbejaanland,status.operating
Drehgondelbahn,Steel,Spinning,,,,0,Zierer,Freizeit-Land Geiselwind,status.operating
Dubai Drone,Steel,Spinning,,13,380,0,Gerstlauer,VR Park,status.operating
Dum-Dum,Steel,Sit Down,,,,0,Beto Carrero World,Beto Carrero World,status.operating
Dynamite,Steel,Sit Down,100,44,500,3,Mack,Freizeitpark Plohn,status.operating
Dynamite Express,Steel,Sit Down,,11,262,0,Mack,Drievliet Family Park,status.operating
E-Powered,Steel,na,,,,0,na,Daqing Oilfield Paradise,status.operating
Eagle Fortress,Steel,Suspended,,,,0,Arrow,Everland,status.closed.definitely
Eden Rail,Steel,Sit Down,,,,0,S.D.C.,Magic Park Land,status.closed.definitely
Ednör,Steel,Inverted,80,34,689,5,Vekoma,La Ronde,status.operating
Eejanaika,Steel,4th Dimension,126,76,1153,2,S&S,Fuji-Q Highland,status.operating
Eichhörnchenbahn,Steel,Sit Down,30,5,128,0,Zierer,Freizeitpark Lochmühle,status.operating
Eifel Blitz,Steel,Sit Down,,,,0,DAL,Eifelpark,status.operating
Eifel-Coaster,Steel,Alpine,,,765,0,Wiegand,Eifelpark,status.operating
Ejderha Uçuşu,Steel,Sit Down,40,10,190,0,Zierer,Wonderland Eurasia,status.operating
El Condor,Steel,Inverted,80,31,662,5,Vekoma,Walibi Holland,status.operating
El Diablo,Steel,Sit Down,,17,1008,0,Arrow,Port Aventura,status.operating
El Loco,Steel,Sit Down,,,,0,S&S,Adventuredome,status.operating
El Paso-Express,Steel,Sit Down,,10,,0,Schwarzkopf,Hansa Park,status.closed.definitely
El Toro,Wooden,Sit Down,75,28,750,0,GCI,Freizeitpark Plohn,status.operating
El Toro,Wooden,Sit Down,113,55,1341,0,Intamin,Six Flags Great Adventure,status.operating
Eldorado,Steel,Sit Down,,,,0,na,Etnaland,status.operating
Electric Eel,Steel,Sit Down,100,46,263,1,Premier Rides,SeaWorld San Diego,status.operating
Eleventh Roller Coaster,Steel,Sit Down,,,1050,11,Hebei Zhongye,Great Xingdong Tourist World,status.construction
Elf,Steel,Sit Down,58,19,695,0,Intamin,Hirakata Park,status.operating
Elliott,Steel,Sit Down,,,,0,na,Foire,status.unknown
En avant Seccotine,Steel,Sit Down,,,,0,Zierer,Parc Spirou,status.operating
Energuś Roller Coaster,Steel,Sit Down,46,13,335,0,Vekoma,Energylandia,status.operating
Enigma,Steel,Sit Down,55,16,530,0,Schwarzkopf,Pleasurewood Hills,status.operating
EqWalizer,Steel,Sit Down,76,36,285,3,Vekoma,Walibi Rhône Alpes,status.operating
Escape from Madagascar,na,Suspended,42,15,342,0,Vekoma,Dreamworld,status.operating
Eureka Mountain Mine Ride,Steel,Sit Down,48,12,,0,HyFab,Dreamworld,status.closed.definitely
Euro Coaster,Steel,Suspended,43,16,370,0,Reverchon,Foire,status.operating
Euro Express,na,Sit Down,80,30,560,2,Intamin,Romon U-Park,status.operating
Euro Loop,Steel,Sit Down,65,30,,4,Vekoma,Europark,status.operating
Euro Mir,Steel,Spinning,80,28,980,0,Mack,Europa Park,status.operating
Euro Speed,Steel,Sit Down,,,,0,Mack,Europark,status.operating
Eurofighter,Steel,Sit Down,,22,72,2,Gerstlauer,Zoosafari Fasanolandia,status.operating
Eurosat,Steel,Sit Down,60,26,877,0,Mack,Europa Park,status.retracked
Eurostar,Steel,Inverted,80,30,800,4,Intamin,Foire,status.relocated
Eurostar,Steel,Inverted,80,30,800,4,Intamin,Gorky Park,status.closed.definitely
Excalibur,na,Sit Down,89,31,823,0,CCI,Funtown Splashtown USA,status.operating
Excalibur,Hybrid,Sit Down,88,31,736,,Arrow,Valleyfair,status.operating
Expedition Everest,Steel,Sit Down,80,34,1341,0,Vekoma,Disney's Animal Kingdom,status.operating
Expedition Ge Force,Steel,Sit Down,120,53,1220,0,Intamin,Holiday Park,status.operating
Expedition of Volcano,na,Sit Down,,,,,na,Happy Valley Tianjin,status.operating
Express,Steel,Sit Down,,,,0,Soquet,Fraispertuis City,status.relocated
Exterminator,Steel,Sit Down,47,13,420,0,Reverchon,Kennywood,status.operating
Extrem,Steel,Spinning,,,,0,Maurer,Foire,status.closed.definitely
Extreme,Steel,Sit Down,,,,0,na,Foire,status.operating
Extreme Rusher,Steel,Sit Down,134,60,850,0,S&S,Happy Valley Beijing,status.operating
F.L.Y,Steel,Flying,,,,0,Vekoma,Phantasialand,status.construction
F2 Fright Flight,Steel,Inverted,80,33,689,5,Vekoma,Nasu Highland Park,status.operating
Fahrenheit,Steel,Sit Down,93,37,823,6,Intamin,Hersheypark,status.operating
Fairly Odd Coaster,Steel,Spinning,50,17,410,0,Gerstlauer,Nickelodeon Universe,status.operating
Falcon,Steel,Sit Down,,22,320,2,Gerstlauer,Duinrell,status.operating
Falcon,na,Wing,118,60,1278,4,B&M,Wuxi Sunac Land,status.operating
Falken,Steel,Sit Down,75,20,622,0,S&S,Farup Sommerland,status.operating
Família Expressz,Steel,Sit Down,40,7,195,0,Pinfari,Vidámpark,status.operating
Fami'Stéric,Steel,Sit Down,,,,0,Pinfari,Fami P.A.R.C,status.closed.definitely
Familie Achtbaan,Steel,Sit Down,,,,0,Zamperla,Familiepretpark Mini Mundi,status.operating
Familieachtbaan,Steel,Sit Down,,14,,0,Abc rides,BillyBird Park Hemelrijk,status.operating
Familienachterbahn,na,Sit Down,,,,,Zierer,Schloss Beck Freizeitpark,status.operating
Family Adventure,Steel,Sit Down,46,13,335,0,Vekoma,Mirabilandia,status.closed.definitely
Family Banana Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Yokohama Cosmoworld,status.operating
Family Coaster,Steel,Sit Down,,,,0,SBF,Didiland,status.operating
Family Coaster,na,Sit Down,46,13,335,,Vekoma,Dream Park,status.operating
Family Coaster,Steel,Sit Down,,,,0,Güven Lunapark,Dymchurch Amusement Park,status.operating
Family Coaster,Steel,Sit Down,,3,85,0,Zamperla,Expoland,status.closed.definitely
Family Coaster,na,Sit Down,60,20,185,,Vekoma,Happy Valley Chongqing,status.operating
Family Coaster,Steel,Sit Down,,,,0,D.P.V. Rides,Holly Park,status.closed.definitely
Family Coaster,Steel,Sit Down,20,6,160,0,Pinfari,Parc Saint Paul,status.closed.definitely
Family Coaster,Steel,Sit Down,,4,80,0,Zamperla,Sea Train Land,status.operating
Family Coaster,Steel,Sit Down,,,,0,Gerstlauer,The Land of Legends,status.operating
Family Coaster,Steel,Sit Down,70,20,580,0,Intamin,ViaSea,status.operating
Family coaster,Steel,Sit Down,,,,0,na,Walygator Parc,status.operating
Family Gravity Coaster,Steel,Sit Down,,,,0,Zamperla,Chimelong Paradise,status.closed.definitely
Family Inverted Coaster,Steel,Inverted,50,20,405,0,B&M,Happy Valley Beijing,status.operating
Family Inverted Coaster,Steel,Inverted,50,20,405,0,B&M,Happy Valley Shanghai,status.operating
Family Roller Coaster,na,Sit Down,,,,,Golden Horse,Great Xingdong Tourist World,status.operating
Family Star,Steel,Spinning,,,,0,Fabbri,Foire,status.operating
Family Star,na,Sit Down,,,,,Fabbri,Great Yarmouth Pleasure Beach,status.operating
Family Worm,Steel,Sit Down,,,,0,SBF,Family Park Medulin,status.operating
Famous jack,Steel,Spinning,47,13,420,0,Reverchon,Bagatelle,status.operating
Fantastic Coaster Rowdy,Steel,Sit Down,,,,0,Meisho Amusement Machines,Hirakata Park,status.operating
Fantasy Mouse,Steel,Sit Down,,,,0,L&T Systems,Cavallino Matto,status.operating
Fantasy Mouse,Steel,Sit Down,47,13,420,0,Reverchon,Fantasy Island Ingoldmells,status.operating
Fantasy Mouse,na,Sit Down,,,,,Reverchon,Fantasy Island Ingoldmells,status.closed.definitely
Fantasy Mouse (doublon),na,Spinning,,,,,Reverchon,Fantasy Island,status.operating
Fast and Furry-ous,Steel,Inverted,50,18,400,0,Intamin,Warner Bros. World Abu Dhabi,status.operating
Feng Shen Coaster,Steel,Sit Down,80,,,1,Beijing Shibaolai,Beijing Shijingshan Amusement Park,status.closed.definitely
Fenix,Steel,Wing,95,40,813,3,B&M,Toverland,status.operating
Feuer und Eis,Steel,Sit Down,,,,0,Mack,Foire,status.operating
Feuerdrache,Steel,Sit Down,60,16,860,0,Zierer,Legoland Deutschland,status.operating
Fiesta Express,Steel,Sit Down,,2,80,0,Zamperla,Legoland Florida,status.closed.definitely
Fiesta Express,Steel,Sit Down,,,,0,Zamperla,Parquesur,status.operating
Fiesta Express,Steel,Sit Down,,,,0,Zamperla,Wild Adventures,status.operating
Figure 8,Steel,Sit Down,,,,0,T. M. Harton,Crystal Beach,status.closed.definitely
Figure Eight,Steel,Sit Down,,,,0,na,Southport Pleasureland,status.unknown
Fiorano GT Challenge (Left),Steel,Sit Down,,,1000,0,Maurer,Ferrari World,status.operating
Fiorano GT Challenge (Right),Steel,Sit Down,,,1000,0,Maurer,Ferrari World,status.operating
Fire In The Hole,Steel,Sit Down,,,,0,na,Silver Dollar City,status.operating
Fireball,Steel,Sit Down,,,,1,Larson International,Foire,status.operating
Fireball,na,Sit Down,60,23,210,,Vekoma,Furuvik,status.operating
Firebird,Steel,Floorless,89,31,884,2,B&M,Six Flags America,status.operating
FireChaser Express,Steel,Sit Down,56,,740,0,Gerstlauer,Dollywood,status.operating
Firehawk,Steel,Flying,81,35,1018,0,Vekoma,Kings Island,status.closed.definitely
Firestorm,na,Sit Down,,,,,Vekoma,Vinpearl Land Ho Chi Minh,status.announced
Firewhip,na,Inverted,80,33,689,5,Vekoma,Beto Carrero World,status.operating
Fjord Flying Dragon,Wooden,Sit Down,87,34,1216,,Gravity Group,Happy Valley Tianjin,status.operating
Flagermusen,Steel,Sit Down,47,13,420,0,Reverchon,Farup Sommerland,status.operating
Flare Meteor,Steel,Inverted,80,38,,4,Golden Horse,FantaWild Adventure Wuhu,status.operating
Flash,Steel,Sit Down,115,61,1273,2,Mack,Lewa Adventure,status.operating
Flash Back,Steel,Sit Down,56,26,579,0,Intamin,Six Flags Magic Mountain,status.closed.definitely
Flashback,Steel,Sit Down,76,36,285,3,Vekoma,Great Escape,status.operating
Flashback,Steel,Sit Down,75,36,267,3,Vekoma,Six Flags New England,status.operating
Flashback,Steel,Sit Down,75,36,267,3,Vekoma,Six Flags Over Texas,status.closed.definitely
Flight Deck,Steel,Inverted,81,31,689,3,B&M,California's Great America ,status.operating
Flight Deck,Steel,Inverted,80,33,989,5,Vekoma,Canada's Wonderland,status.operating
Flight of Fear,Steel,Sit Down,87,23,825,4,Premier Rides,Kings Dominion,status.operating
Flight of Fear,Steel,Sit Down,87,23,825,4,Premier Rides,Kings Island,status.operating
Flight of the Hippogriff,Steel,Sit Down,,,300,,Mack,Universal Studios Hollywood,status.operating
Flight of the Hippogriff,Steel,Sit Down,46,13,335,0,Vekoma,Universal Studios Islands of Adventure,status.operating
Flight of the Hippogriff,Steel,Sit Down,,,335,,Vekoma,Universal Studios Japan,status.operating
Flight of the Phoenix,Steel,Sit Down,80,31,830,8,Intamin,Phoenix Mountain's Happy Park,status.operating
Flight of the Pterosaur,na,Suspended,,20,395,,Vekoma,Paultons Park,status.operating
Flight School,Steel,Sit Down,46,13,281,0,Zierer,Tayto Park,status.announced
Flight School,na,Sit Down,46,11,281,0,Zierer,Tayto Park,status.operating
Flinker Fridolin,Steel,Sit Down,53,14,,0,Zierer,Panorama Park,status.closed.definitely
Flitzer,Steel,Sit Down,,,,0,Zierer,Crystal Beach,status.closed.definitely
Flitzer,Steel,Sit Down,,,,0,Zierer,Morey's Piers,status.operating
Flitzer,Steel,Sit Down,,,,0,Zierer,Playland's Castaway Cove,status.closed.definitely
Flitzer,Steel,Sit Down,,,,0,Zierer,Wonder Island,status.closed.definitely
Flotte Biene,Steel,Sit Down,42,,200,0,Abc rides,Trampolino Familien- und Freizeitpark,status.closed.definitely
Flounder's Flying Fish Coaster,Steel,Sit Down,32,,240,0,Togo,Tokyo Disneyland,status.operating
Fluch Von Novgorod,Steel,Sit Down,100,40,,1,Gerstlauer,Hansa Park,status.operating
Flug der Dämonen,Steel,Wing,100,50,772,5,B&M,Heide Park,status.operating
Flume Ride,Steel,Water Coaster,,30,,0,Golden Horse,E-DA Theme Park,status.operating
Fly,Steel,Sit Down,56,16,400,0,Mack,Canada's Wonderland,status.operating
Fly Over Mediterranean,na,Sit Down,85,31,755,,Intamin,Happy Valley Chengdu,status.operating
Fly the Great Nor'Easter,Steel,Inverted,89,35,661,5,Vekoma,Morey's Piers,status.operating
Flying Ace Aerial Chase,Steel,Suspended,42,15,342,0,Vekoma,Kings Island,status.operating
Flying Aces,Steel,Sit Down,120,63,1500,1,Intamin,Ferrari World,status.operating
Flying Coaster,Steel,Sit Down,,4,,0,Schiff,Crystal Beach,status.closed.definitely
Flying Coaster,Steel,Flying,41,15,391,2,Zamperla,Elitch Gardens,status.operating
Flying Coaster,Steel,Flying,41,19,390,2,Zamperla,Genting Theme Park,status.closed.definitely
Flying Coaster,na,Motorbike,,,,,Beijing Jiuhua,Sun Park,status.operating
Flying Cobras,Steel,Sit Down,76,36,285,3,Vekoma,Carowinds,status.operating
Flying Dinosaur,Steel,Flying,,38,1124,5,B&M,Universal Studios Japan,status.operating
Flying Dragon,na,Sit Down,,,,,na,Dam Sen Park,status.operating
Flying Dragon Coaster,na,Sit Down,,,,,Wisdom Rides ,Pixieland Amusement Park,status.operating
Flying Dutchman Gold Mine,Steel,Sit Down,45,14,370,0,Mack,Walibi Holland,status.closed.definitely
Flying Fish,Steel,Sit Down,30,6,234,0,Mack,Thorpe Park,status.operating
Flying Frog,Steel,Sit Down,,,,0,Zierer,Paultons Park,status.closed.definitely
Flying School,Steel,Suspended,42,15,342,0,Vekoma,Legoland Florida,status.operating
Flying Super Saturator,Steel,Suspended,48,13,331,0,SetPoint,Carowinds,status.closed.definitely
Flying Tiger,Steel,Sit Down,60,20,350,2,Vekoma,Zoo Safari Stukenbrock,status.operating
Flying Trapese,Steel,Sit Down,,7,,0,Zierer,Flamingo Land Theme Park and Zoo,status.closed.definitely
Flying Turns,Wooden,Bobsleigh,39,15,396,0,Knoebels,Knoebels,status.operating
Flying Wing Coaster,na,Wing,,,,5,B&M,Happy Valley Chongqing,status.operating
Flyvende Ørn,Steel,Sit Down,46,11,280,0,Zierer,Legoland Billund,status.operating
Forest Slide,na,Alpine,,,560,,Wiegand,Hot Go Park,status.operating
Forest Train,Steel,Sit Down,,,,0,Zamperla,Adventureland,status.operating
Forest Trains,Steel,Sit Down,0,0,0,0,Zamperla,Gyeongnam Mason Robotland,status.operating
Formuła,Steel,Sit Down,79,25,560,3,Vekoma,Energylandia,status.operating
Formula 1,Steel,Spinning,,,,0,Fabbri,Foire,status.operating
Formula One,Steel,Spinning,47,13,420,0,Fabbri,Magic Park Land,status.operating
Formula Pax,Steel,Sit Down,,15,380,0,Pax,VVC Wheel Park,status.operating
Formula Rossa,Steel,Sit Down,240,52,2000,0,Intamin,Ferrari World,status.operating
Formule 1,Steel,Sit Down,,15,380,0,Pax,Parc Saint Paul,status.operating
Formule X,Steel,Sit Down,70,15,300,2,Maurer,Drievliet Family Park,status.operating
Four Man Bob,Steel,Sit Down,,7,,0,Zierer,Pleasure Island,status.closed.definitely
Frankie's Mine,Steel,Sit Down,,,80,0,Zamperla,Frontier City,status.construction
Frankie's Mine Train,Steel,Sit Down,,3,85,0,Zamperla,Great Escape,status.operating
Free Fall,Steel,Sit Down,100,27,50,0,Preston & Barbieri,Foire,status.operating
Freedom Flyer,Steel,Suspended,55,20,395,0,Vekoma,Fun Spot America,status.operating
Freestyle,na,Stand Up,82,27,673,,Togo,Cavallino Matto,status.operating
Freeway Coaster,Steel,Sit Down,,,,0,E&F Miler Industries,Adventure City (Anaheim),status.operating
Freischütz,Steel,Sit Down,80,24,460,3,Maurer,Bayern Park,status.operating
French Revolution,Steel,Sit Down,,,,1,Vekoma,Lotte World,status.operating
Frida,Steel,Sit Down,45,13,247,0,Vekoma,Energylandia,status.operating
Froschbahn,Steel,Sit Down,26,3,60,0,Zierer,Bayern Park,status.operating
Froschflitzer,Steel,Sit Down,36,8,360,0,Zierer,Serengeti Park,status.operating
Fruit Worm,Steel,Sit Down,18,,,0,Golden Horse,Sun Park,status.closed.definitely
Fruit Worm Coaster,na,Sit Down,,,,,na,Oriental Heritage Jinan,status.operating
Fruitworm Train,na,Sit Down,,,,,Golden Horse,Heilongjiang Wanda Theme Park,status.operating
Frutti Loop Coaster,Steel,Sit Down,,,,,SBF,Energylandia,status.operating
Fuga da Atlantide,Steel,Water Coaster,60,17,700,0,Intamin,Gardaland,status.operating
Fujin Raijin II,Steel,Stand Up,75,43,1050,0,Togo,Expoland,status.closed.definitely
Fujiyama,Steel,Sit Down,130,79,2045,0,Togo,Fuji-Q Highland,status.operating
Full Throttle,Steel,Sit Down,112,48,670,2,Premier Rides,Six Flags Magic Mountain,status.operating
Fun Express,Steel,Sit Down,,9,352,0,na,Spree-Park,status.closed.definitely
Fun Pilot,Steel,Sit Down,40,10,190,0,Zierer,Walibi Belgium,status.operating
Fun4All,Steel,Spinning,,,,0,DAL,Foire,status.operating
Funny Mouse,Steel,Sit Down,,,,0,Pinfari,Foire,status.operating
Funny Mouse,Steel,Sit Down,,,,,na,Legendia,status.closed.definitely
Funtown Family Coaster,Steel,Sit Down,,,,0,E&F Miler Industries,Funtown Pier,status.closed.definitely
Furio,Steel,Sit Down,,,,0,Soquet,Dennlys Parc,status.operating
Furius Baco,Steel,Wing,135,14,900,1,Intamin,Port Aventura,status.operating
Fury,Steel,Sit Down,106,43,600,4,Gerstlauer,Bobbejaanland,status.operating
Fury 325,Steel,Sit Down,153,99,2012,0,B&M,Carowinds,status.operating
G Force,Steel,Sit Down,70,25,385,3,Maurer,Drayton Manor,status.closed.temporarily
G'sengte Sau,Steel,Sit Down,50,16,480,0,Gerstlauer,Tripsdrill,status.operating
Götterblitz,Steel,Sit Down,60,16,480,0,Mack,Familypark,status.operating
Gadget's Go Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Disneyland Park,status.operating
Gadget's Go Coaster,Steel,Sit Down,35,9,207,0,Vekoma,Tokyo Disneyland,status.operating
Galactica,Steel,Flying,75,20,840,3,B&M,Alton Towers,status.operating
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Blue Bayou Dixie Landin',status.operating
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Crystal Beach,status.closed.definitely
Galaxi,Steel,Sit Down,,,,0,S.D.C.,Fun Junction,status.closed.definitely
Galaxia,Steel,Sit Down,,,,0,Barbisan,Wiener Prater,status.closed.definitely
Galaxy Coaster,na,Sit Down,,,,,Beijing Jiuhua,Quancheng Euro Park,status.operating
Galaxy Express,na,Sit Down,,,,,Vekoma,Fantawild Dreamland Zhengzhou,status.operating
Galaxy Express,na,Sit Down,75,19,453,,Vekoma,Oriental Heritage Xiamen,status.operating
Galaxy Express 999,Steel,Sit Down,55,,,1,Intamin,Aqua Stadium,status.operating
Galaxy Orbiter,Steel,Spinning,,,,0,Gerstlauer,Galaxyland Amusement Park,status.operating
Galaxy Spin,Steel,Sit Down,47,13,420,0,Zamperla,Legoland Florida,status.closed.definitely
GaleForce,Steel,Sit Down,103,38,387,0,S&S,Playland's Castaway Cove,status.operating
Gambit,Steel,Inverted,81,32,821,5,B&M,Thrill Valley,status.closed.definitely
Gao,na,Sit Down,98,40,1664,,Meisho Amusement Machines,Greenland,status.operating
Garden Express,Steel,Sit Down,,,,0,na,Leolandia,status.closed.definitely
Garuda Valley,na,Sit Down,,,,,Vekoma,Sun World Danang Wonders,status.operating
GateKeeper,Steel,Wing,108,52,1269,6,B&M,Cedar Point,status.operating
Gauntlet,Steel,Sit Down,,,,0,Pinfari,Camelot Theme Park,status.closed.definitely
Gauntlet,Steel,Inverted,80,33,689,5,Vekoma,Magic Springs & Crystal Falls,status.operating
Gaz Express,Steel,Sit Down,60,12,400,0,Soquet,Bagatelle,status.operating
Gekion Live Coaster,Steel,Sit Down,,,,1,Gerstlauer,Joypolis,status.operating
Gemini (Blue),Hybrid,Sit Down,96,38,1200,0,Arrow,Cedar Point,status.operating
Gemini (Red),Hybrid,Sit Down,96,38,1200,0,Arrow,Cedar Point,status.operating
Georgia Cyclone,Wooden,Sit Down,81,29,905,0,Dinn Corp.,Six Flags Over Georgia,status.retracked
Georgia Scorcher,Steel,Stand Up,87,33,914,2,B&M,Six Flags Over Georgia,status.operating
Geyser,Steel,Sit Down,23,4,58,0,L&T Systems,Gulliverlandia,status.operating
Ghost Chasers,Steel,Sit Down,45,14,370,0,Mack,Movie Park Germany,status.operating
Ghoster Coaster,Wooden,Sit Down,56,13,413,0,Philadelphia Toboggan Coaster,Canada's Wonderland,status.operating
GhostRider,Wooden,Sit Down,90,36,1382,0,GCI,Knott's Berry Farm,status.operating
Giant Coaster,Steel,Sit Down,,18,801,0,T. M. Harton,Crystal Beach,status.closed.definitely
Giant Dipper,Wooden,Sit Down,89,22,793,0,na,Belmont Park,status.operating
Giant Dipper,Steel,Sit Down,89,21,805,0,na,Santa Cruz Beach Boardwalk,status.operating
Giant Inverted Boomerang,Steel,Sit Down,106,58,367,3,Vekoma,Jin Jiang Action Park,status.operating
Giant Inverted Boomerang,na,Sit Down,106,58,365,3,Vekoma,Mirabilandia Paulista,status.announced
Gioco Farfalla,Steel,Sit Down,,6,,0,Heege Freizeittechnik,Cavallino Matto,status.closed.definitely
Gipfel-Stürmer,Steel,Sit Down,,,,0,Gerstlauer,Freizeitpark Ruhpolding,status.operating
Girdap Sörfçüler,Steel,Sit Down,,10,200,1,Interpark,Wonderland Eurasia,status.construction
Gletscherblitz,na,Sit Down,45,,,0,Mack,Steinwasen Park,status.operating
Go Gator,na,Sit Down,,,,,Wisdom Rides ,Clacton Pier,status.operating
Go Gator,Steel,Sit Down,,,,,Wisdom Rides ,Flamingo Land Theme Park and Zoo,status.operating
Go Go Sneaker,na,Sit Down,20,,,,Togo,Rusutsu Resort,status.operating
Go-gator,na,Sit Down,,,,,Wisdom Rides ,Clifton Park Amusements,status.operating
Go-Gator,na,Sit Down,,,,,na,Coney Beach Pleasure Park,status.operating
Go-Gator,Steel,Sit Down,,,,0,na,Southport Pleasureland,status.unknown
Go! Go! Banana Coaster,Steel,Sit Down,,,,0,Senyo Kogyo,Japan Monkey Park,status.operating
Godiståget,Steel,Sit Down,40,8,190,,Zierer,Kolmården,status.operating
Gold Digger,Steel,Sit Down,35,15,360,0,L&T Systems,Mirabilandia,status.operating
Gold Express,Steel,Sit Down,,,,0,S&MC,Foire,status.operating
Gold Mine,Steel,Sit Down,,,,0,Diamond Rides,Foire,status.operating
Gold Mine,na,Sit Down,,,,,na,Pavilion Fun Park,status.operating
Gold Mine,na,Sit Down,,,,,na,PPS Park Platja d'Aro,status.operating
Gold Mine Coaster,na,Sit Down,,,,,SBF,Farouk Land Annaba Parc,status.operating
Gold Rush,Steel,Sit Down,90,33,400,2,Gerstlauer,Attractiepark Slagharen,status.operating
Gold Rush,Steel,Sit Down,45,13,523,0,na,Kijima Amusement Park,status.operating
Gold rush,Steel,Sit Down,,,,0,Gerstlauer,OK Corral,status.operating
Gold Rush,Steel,Sit Down,,,,0,na,Rainbow's End,status.operating
Gold Rush,Steel,Sit Down,,,,0,Chance Rides,Wild Adventures,status.closed.definitely
Gold Rush Express,na,Sit Down,76,21,710,,Zamperla,Adlabs Imagica,status.operating
Gold Rusher,Steel,Sit Down,56,21,790,0,Arrow,Six Flags Magic Mountain,status.operating
Gold Rusher,Steel,Sit Down,,,,0,Gerstlauer,Tatzmania Löffingen,status.operating
Gold Striker,Wooden,Sit Down,87,33,975,0,GCI,California's Great America ,status.operating
Golden Dragon,na,Sit Down,,,,,na,City Park,status.operating
Golden Loop,Steel,Sit Down,92,42,263,1,Schwarzkopf,Gold Reef City,status.operating
Golden Whirlwind,na,Sit Down,69,23,495,3,Sameco,Fantawild Dreamland Wuhu,status.operating
Golden Wings in Snowfield,Steel,Inverted,88,36,671,4,Vekoma,Happy Valley Beijing,status.operating
